221.0, 314.0, 215.0, 377.0
215.0, 377.0, 260.0, 359.0
260.0, 359.0, 282.0, 402.0
282.0, 402.0, 372.0, 384.0
372.0, 384.0, 418.0, 350.0
418.0, 350.0, 404.0, 285.0
404.0, 285.0, 356.0, 267.0
356.0, 267.0, 297.0, 268.0
297.0, 268.0, 239.0, 236.0
425.0, 434.0, 400.0, 483.0
400.0, 483.0, 351.0, 444.0
435.0, 179.0, 415.0, 241.0
415.0, 241.0, 487.0, 267.0
487.0, 267.0, 500.0, 200.0
500.0, 200.0, 435.0, 179.0
544.0, 256.0, 522.0, 323.0
522.0, 323.0, 603.0, 378.0
240.83811580439408, 192.32455501749646, 350.0, 200.0
350.0, 200.0, 286.63767159321424, 145.03003297159643
239.0, 236.0, 213.06691626932462, 245.30931210844756
200.11199518194246, 312.9810729357045, 221.0, 314.0
351.0, 444.0, 315.6960895993817, 513.7025923294259
547.9888636272341, 498.9381199951796, 425.0, 434.0
456.0202768307287, 102.96880487580208, 443.0, 123.0
443.0, 123.0, 501.9080632944473, 115.81608984214057
603.0, 378.0, 637.5968726118232, 352.4283985043046
623.019677775708, 235.24735735183427, 544.0, 256.0
286.63767159321424, 145.03003297159643, 280.1634783099728, 150.15964201158036
280.1634783099728, 150.15964201158036, 273.88640849059243, 155.5286700478713
273.88640849059243, 155.5286700478713, 267.8153107372177, 161.1295485183277
267.8153107372177, 161.1295485183277, 261.9587432991823, 166.9543820280168
261.9587432991823, 166.9543820280168, 256.32496200869485, 172.99495947912257
256.32496200869485, 172.99495947912257, 250.92190864283342, 179.24276564589076
250.92190864283342, 179.24276564589076, 245.7571997282537, 185.68899317829408
245.7571997282537, 185.68899317829408, 240.83811580439408, 192.32455501749646
213.06691626932462, 245.30931210844756, 210.29145379939274, 253.49943120222372
210.29145379939274, 253.49943120222372, 207.84000508334648, 261.7922981301825
207.84000508334648, 261.7922981301825, 205.71635777369374, 270.1750998573166
205.71635777369374, 270.1750998573166, 203.92379304780755, 278.63488439332843
203.92379304780755, 278.63488439332843, 202.4650805382873, 287.1585808043232
202.4650805382873, 287.1585808043232, 201.34247405369064, 295.7330194082773
201.34247405369064, 295.7330194082773, 200.5577080962484, 304.3449521230793
200.5577080962484, 304.3449521230793, 200.11199518194246, 312.9810729357045
315.6960895993817, 513.7025923294259, 343.6136741592672, 526.3131823819151
343.6136741592672, 526.3131823819151, 373.0122988433964, 534.9236048925704
373.0122988433964, 534.9236048925704, 403.3219592396505, 539.36691399661
403.3219592396505, 539.36691399661, 433.9549870356058, 539.5569592083933
433.9549870356058, 539.5569592083933, 464.31744420906347, 535.4900557770046
464.31744420906347, 535.4900557770046, 493.8206387808035, 527.2450561291973
493.8206387808035, 527.2450561291973, 521.8925388527971, 514.9818210145019
521.8925388527971, 514.9818210145019, 547.9888636272341, 498.9381199951796
501.9080632944473, 115.81608984214057, 496.3394259074647, 113.66945923562673
496.3394259074647, 113.66945923562673, 490.71461004467693, 111.67466806403672
490.71461004467693, 111.67466806403672, 485.03775502961304, 109.83318430183121
485.03775502961304, 109.83318430183121, 479.3130384816136, 108.14636310396128
479.3130384816136, 108.14636310396128, 473.54467324150437, 106.61544580860468
473.54467324150437, 106.61544580860468, 467.73690427135085, 105.24155902366053
467.73690427135085, 105.24155902366053, 461.8940055305743, 104.025713797674
461.8940055305743, 104.025713797674, 456.0202768307287, 102.96880487580208
637.5968726118232, 352.4283985043046, 639.2961138399285, 337.5844947241912
639.2961138399285, 337.5844947241912, 639.9839246897852, 322.659488311483
639.9839246897852, 322.659488311483, 639.6571328626422, 307.7222158935925
639.6571328626422, 307.7222158935925, 638.317245577098, 292.8415706708007
638.317245577098, 292.8415706708007, 635.9704426175558, 278.0861846692878
635.9704426175558, 278.0861846692878, 632.6275478320242, 263.52411219874205
632.6275478320242, 263.52411219874205, 628.3039792107181, 249.2225159744943
628.3039792107181, 249.2225159744943, 623.019677775708, 235.24735735183427
